Field,Type,Null,Key,Default,Extra
DATES,date,YES,,NULL,
Time,time,YES,,NULL,
Booking_ID,text,YES,,NULL,
Booking_Status,text,YES,,NULL,
Customer_ID,text,YES,,NULL,
Vehicle_Type,text,YES,,NULL,
Pickup_Location,text,YES,,NULL,
Drop_Location,text,YES,,NULL,
V_TAT,text,YES,,NULL,
C_TAT,text,YES,,NULL,
Canceled_Rides_by_Customer,text,YES,,NULL,
Canceled_Rides_by_Driver,text,YES,,NULL,
Incomplete_Rides,text,YES,,NULL,
Incomplete_Rides_Reason,text,YES,,NULL,
Booking_Value,int,YES,,NULL,
Payment_Method,text,YES,,NULL,
Ride_Distance,float,YES,,NULL,
Driver_Ratings,text,YES,,NULL,
Customer_Rating,text,YES,,NULL,
